TRIM63_1	ENSG00000158022
PDIK1L_2	ENSG00000175087
PDIK1L_1	ENSG00000175087
FAM110D_1	ENSG00000197245
ZNF593_1	ENSG00000142684
CNKSR1_1	ENSG00000142675
CATSPER4_1	ENSG00000188782
CEP85_1	ENSG00000130695
SH3BGRL3_1	ENSG00000142669
UBXN11_1	ENSG00000158062
CD52_1	ENSG00000169442
ZNF683_1	ENSG00000176083
ZNF683_2	ENSG00000176083
LIN28A_1	ENSG00000131914
HMGN2_1	ENSG00000198830
RPS6KA1_1	ENSG00000117676
ARID1A_1	ENSG00000117713
PIGV_3	ENSG00000060642
PIGV_2	ENSG00000060642
ZDHHC18_2	ENSG00000204160
PIGV_4	ENSG00000060642
PIGV_1	ENSG00000060642
ZDHHC18_1	ENSG00000204160
SFN_1	ENSG00000175793
GPN2_1	ENSG00000142751
GPATCH3_1	ENSG00000198746
NR0B2_1	ENSG00000131910
NUDC_1	ENSG00000090273
TRNP1_2	ENSG00000253368
TRNP1_1	ENSG00000253368
FAM46B_1	ENSG00000158246
SLC9A1_1	ENSG00000090020
SLC9A1_2	ENSG00000090020
WDTC1_1	ENSG00000142784
TMEM222_1	ENSG00000186501
SYTL1_1	ENSG00000142765
MAP3K6_1	ENSG00000142733
CD164L2_1	ENSG00000174950
GPR3_1	ENSG00000181773
WASF2_1	ENSG00000158195
FGR_1	ENSG00000000938
IFI6_1	ENSG00000126709
FAM76A_1	ENSG00000009780
STX12_1	ENSG00000117758
PPP1R8_2	ENSG00000117751
PPP1R8_1	ENSG00000117751
THEMIS2_1	ENSG00000130775
RPA2_1	ENSG00000117748
RPA2_2	ENSG00000117748
SMPDL3B_1	ENSG00000130768
XKR8_1	ENSG00000158156
XKR8_2	ENSG00000158156
EYA3_2	ENSG00000158161
PTAFR_2	ENSG00000169403
PTAFR_1	ENSG00000169403
DNAJC8_1	ENSG00000126698
ATPIF1_1	ENSG00000130770
DNAJC8_2	ENSG00000126698
SESN2_1	ENSG00000130766
RCC1_1	ENSG00000180198
RCC1_3	ENSG00000180198
RCC1_2	ENSG00000180198
TRNAU1AP_1	ENSG00000180098
RAB42_2	ENSG00000188060
RAB42_1	ENSG00000188060
TAF12_1	ENSG00000120656
GMEB1_1	ENSG00000162419
YTHDF2_2	ENSG00000198492
OPRD1_1	ENSG00000116329
EPB41_1	ENSG00000159023
EPB41_2	ENSG00000159023
TMEM200B_2	ENSG00000253304
TMEM200B_1	ENSG00000253304
TAF12_2	ENSG00000120656
MECR_1	ENSG00000116353
PTPRU_1	ENSG00000060656
MATN1_1	ENSG00000162510
LAPTM5_1	ENSG00000162511
LAPTM5_2	ENSG00000162511
SDC3_1	ENSG00000162512
SDC3_2	ENSG00000162512
PUM1_1	ENSG00000134644
SNRNP40_1	ENSG00000060688
ZCCHC17_1	ENSG00000121766
FABP3_1	ENSG00000121769
FABP3_2	ENSG00000121769
SERINC2_1	ENSG00000168528
TINAGL1_1	ENSG00000142910
PEF1_1	ENSG00000162517
ADGRB2_2	ENSG00000121753
ADGRB2_1	ENSG00000121753
PTP4A2_1	ENSG00000184007
KHDRBS1_1	ENSG00000121774
KPNA6_1	ENSG00000025800
TXLNA_1	ENSG00000084652
TXLNA_2	ENSG00000084652
CCDC28B_3	ENSG00000160050
CCDC28B_1	ENSG00000160050
CCDC28B_2	ENSG00000160050
IQCC_1	ENSG00000160051
DCDC2B_1	ENSG00000222046
EIF3I_2	ENSG00000084623
EIF3I_1	ENSG00000084623
FAM167B_1	ENSG00000183615
LCK_3	ENSG00000182866
LCK_1	ENSG00000182866
LCK_2	ENSG00000182866
HDAC1_1	ENSG00000116478
MARCKSL1_1	ENSG00000175130
TSSK3_2	ENSG00000162526
TSSK3_1	ENSG00000162526
FAM229A_1	ENSG00000225828
ZBTB8A_2	ENSG00000160062
ZBTB8A_1	ENSG00000160062
ZBTB8OS_1	ENSG00000176261
